epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4787,2.90302,5.21765,2.86704,0.46994,0.1,0.10023,0.02005,2.63686,4.93854,2.9599,8e-05,8e-05,8e-05
2,51.5498,2.63786,4.67626,2.42388,0.00935,0.2,0.01265,0.00481,2.59023,3.88566,2.70394,0.000178218,0.000178218,0.000178218
3,74.5884,2.43741,3.35326,2.20495,0.16761,0.3,0.13069,0.0655,2.34803,2.91956,1.89482,0.000274456,0.000274456,0.000274456
4,97.4681,2.25812,2.60366,1.93891,0.26172,0.2,0.20801,0.05698,2.23148,2.89355,1.93498,0.000368714,0.000368714,0.000368714
5,120.464,2.01111,2.48134,1.80009,0.39513,0.5,0.33362,0.13079,2.15375,3.17387,2.04397,0.000460992,0.000460992,0.000460992
6,144.44,1.85868,2.28763,1.70077,0.66662,0.59989,0.46433,0.15336,2.24294,2.96199,2.10805,0.00055129,0.00055129,0.00055129
7,168.417,1.70458,2.01546,1.58288,0.88922,0.5,0.59798,0.18114,2.22397,2.74077,2.12003,0.000639608,0.000639608,0.000639608
8,191.108,1.75847,1.97907,1.62789,0.94451,0.6,0.62353,0.22713,2.01258,2.50801,2.0288,0.000725946,0.000725946,0.000725946
9,213.971,1.63396,1.76036,1.57366,0.94114,0.6,0.66714,0.25565,1.92619,2.0281,2.04193,0.000810304,0.000810304,0.000810304
10,236.761,1.65672,1.62629,1.53681,0.85333,0.6,0.66078,0.3115,1.77023,1.92873,1.92193,0.000892682,0.000892682,0.000892682
11,259.716,1.54897,1.54486,1.48843,0.79605,0.6,0.64202,0.29648,2.0188,2.25039,2.15675,0.00097308,0.00097308,0.00097308
12,283.031,1.41246,1.52582,1.39021,0.74381,0.58265,0.56185,0.22753,2.33037,2.41065,2.41488,0.0010515,0.0010515,0.0010515
13,306.015,1.43358,1.49414,1.39377,0.54501,0.7,0.53269,0.24558,2.28758,2.35576,2.43499,0.00112794,0.00112794,0.00112794
14,328.782,1.48221,1.47605,1.45352,0.44617,0.7,0.4899,0.26534,1.73225,2.51105,1.98017,0.00120239,0.00120239,0.00120239
15,351.418,1.433,1.56653,1.46742,0.46066,0.6,0.54239,0.24808,2.11387,2.26648,2.33491,0.00127487,0.00127487,0.00127487
16,374.724,1.39387,1.56199,1.44032,0.49153,0.67799,0.53037,0.24281,2.12317,2.36194,2.3235,0.00134537,0.00134537,0.00134537
17,397.407,1.535,1.65608,1.60836,0.52123,0.7,0.43977,0.24566,1.74525,2.01893,1.90663,0.00141389,0.00141389,0.00141389
18,420.15,1.58984,1.49698,1.59158,0.48974,0.7,0.43393,0.24017,1.64417,1.86928,1.75209,0.00148043,0.00148043,0.00148043
19,442.68,1.41361,1.51396,1.44951,0.52743,0.6,0.44383,0.25882,1.63526,1.87437,1.76004,0.00154498,0.00154498,0.00154498
20,465.939,1.47329,1.52483,1.46235,0.61737,0.6,0.6159,0.3574,1.55135,1.86429,1.7415,0.00160756,0.00160756,0.00160756
21,489.01,1.39265,1.63557,1.50778,0.69423,0.7,0.68023,0.35441,1.5719,1.92264,1.77682,0.001604,0.001604,0.001604
22,513.977,1.36713,1.40584,1.38611,0.67743,0.7,0.65614,0.37985,1.73955,1.77357,1.90758,0.0015842,0.0015842,0.0015842
