epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1814,2.51796,2.16723,2.2869,0.788,0.6,0.65601,0.35782,1.87531,1.31268,1.9775,0.00014,0.00014,0.00014
2,112.685,1.96535,1.58988,1.73593,0.79588,0.7808,0.77949,0.35939,2.07109,1.07628,2.09726,0.00029406,0.00029406,0.00029406
3,164.822,1.80427,1.40822,1.64076,0.56419,0.77748,0.59916,0.31953,1.75448,1.2173,1.87665,0.000441784,0.000441784,0.000441784
4,220.258,1.59176,1.26242,1.51546,0.78725,0.86667,0.85878,0.49445,1.50814,1.01524,1.66469,0.000583172,0.000583172,0.000583172
5,276.863,1.50411,1.22542,1.42888,0.8309,0.86667,0.90011,0.58378,1.44821,0.98724,1.58965,0.000718224,0.000718224,0.000718224
6,326.598,1.43426,1.10661,1.3724,0.69906,0.93333,0.84164,0.50957,1.44704,0.95461,1.54518,0.00084694,0.00084694,0.00084694
7,372.735,1.43859,1.0598,1.34875,0.70878,0.86667,0.83766,0.52855,1.52945,0.93925,1.65038,0.00096932,0.00096932,0.00096932
8,418.095,1.39481,1.04813,1.34749,0.95243,0.86667,0.9515,0.62976,1.34079,0.78396,1.45602,0.00108536,0.00108536,0.00108536
9,464.322,1.39951,1.11134,1.43777,0.92619,0.8,0.9573,0.60249,1.39267,0.77636,1.49908,0.00119507,0.00119507,0.00119507
10,510.022,1.34679,0.93074,1.32165,0.93244,0.92084,0.97567,0.61068,1.2937,0.74693,1.43597,0.00129844,0.00129844,0.00129844
11,555.538,1.2318,0.92843,1.30801,0.90897,0.86667,0.94749,0.53815,1.59253,0.85241,1.68728,0.00139548,0.00139548,0.00139548
12,600.835,1.33318,0.9879,1.33333,0.92277,0.93333,0.94357,0.60847,1.42028,0.80785,1.47304,0.00148618,0.00148618,0.00148618
13,644.578,1.28778,0.96149,1.31362,0.96664,0.93333,0.94088,0.67459,1.16498,0.71951,1.30765,0.0015248,0.0015248,0.0015248
14,690.785,1.27283,0.91879,1.24876,0.98022,0.93333,0.93781,0.63537,1.3029,0.82637,1.38187,0.0014852,0.0014852,0.0014852
15,735.208,1.27729,0.88466,1.27241,0.9321,0.91613,0.93392,0.63034,1.357,0.80906,1.48794,0.0014456,0.0014456,0.0014456
16,779.882,1.29151,1.10633,1.31635,0.81712,0.93333,0.94665,0.6422,1.44127,0.75401,1.61287,0.001406,0.001406,0.001406
17,824.448,1.23473,0.89818,1.274,0.85566,0.93333,0.9145,0.69333,1.23055,0.67054,1.44282,0.0013664,0.0013664,0.0013664
18,868.664,1.16783,0.8542,1.21819,0.92481,1,0.98688,0.70912,1.08154,0.62051,1.27798,0.0013268,0.0013268,0.0013268
19,915.362,1.10485,0.80248,1.17928,1,0.98831,0.995,0.68981,1.23286,0.62022,1.36212,0.0012872,0.0012872,0.0012872
20,958.643,1.10791,0.8064,1.19032,0.99594,1,0.995,0.74971,1.01682,0.55038,1.21551,0.0012476,0.0012476,0.0012476
21,1000.09,1.13615,0.78348,1.1594,0.92643,0.93333,0.92321,0.76945,1.01251,0.58171,1.25703,0.001208,0.001208,0.001208
22,1041.65,1.16569,0.81989,1.22162,0.92544,0.93333,0.91829,0.74968,0.92859,0.61108,1.18825,0.0011684,0.0011684,0.0011684
23,1083.27,1.13523,0.81273,1.17332,0.98861,1,0.995,0.69642,0.97395,0.59813,1.19296,0.0011288,0.0011288,0.0011288
24,1124.33,1.10826,0.79023,1.20712,0.92264,0.93333,0.92265,0.70255,0.93758,0.59964,1.19223,0.0010892,0.0010892,0.0010892
25,1166.25,1.05704,0.75688,1.16478,0.92322,0.93333,0.92739,0.70022,0.97825,0.62143,1.25664,0.0010496,0.0010496,0.0010496
26,1210.49,1.01558,0.76796,1.15241,0.9251,0.93333,0.92132,0.71327,1.02222,0.57736,1.2659,0.00101,0.00101,0.00101
27,1253.36,0.96644,0.72174,1.17227,0.99191,1,0.995,0.71219,1.05873,0.60489,1.25672,0.0009704,0.0009704,0.0009704
28,1295.05,1.03396,0.81103,1.18197,0.99842,1,0.995,0.70266,1.04473,0.59449,1.26542,0.0009308,0.0009308,0.0009308
29,1336.95,1.04729,0.73069,1.14371,0.9955,1,0.995,0.71404,0.94691,0.57947,1.22159,0.0008912,0.0008912,0.0008912
30,1379.48,0.95267,0.73946,1.15105,0.99572,1,0.995,0.76094,0.77244,0.48469,1.12501,0.0008516,0.0008516,0.0008516
31,1426.91,1.08214,0.76332,1.16197,0.9284,0.93333,0.92846,0.70067,0.92321,0.53849,1.24019,0.000812,0.000812,0.000812
32,1472.51,1.03816,0.72013,1.15381,0.92665,0.93333,0.91548,0.68198,1.06882,0.58731,1.32603,0.0007724,0.0007724,0.0007724
33,1513.13,0.97759,0.77638,1.12976,0.92668,0.93333,0.91245,0.71477,0.95741,0.56573,1.2552,0.0007328,0.0007328,0.0007328
