epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1752,3.22935,3.304,1.86645,0.27662,0.06383,0.03769,0.02327,3.32568,3.80163,2.30651,0.00014,0.00014,0.00014
2,90.2006,3.20964,3.17674,1.85428,0.18464,0.08511,0.05815,0.03526,3.11406,3.37737,2.15211,0.00029406,0.00029406,0.00029406
3,129.935,2.94381,2.97246,1.8567,0.16767,0.10638,0.07525,0.04583,2.9628,3.17666,2.00465,0.000441784,0.000441784,0.000441784
4,168.852,2.83787,2.91348,1.71242,0.2567,0.08511,0.09287,0.04616,2.94108,2.95971,1.88665,0.000583172,0.000583172,0.000583172
5,207.437,2.83645,2.84196,1.73077,0.38596,0.10638,0.12748,0.04938,2.84204,2.76581,1.87049,0.000718224,0.000718224,0.000718224
6,249.316,2.82197,2.80588,1.70197,0.51285,0.10638,0.12205,0.04869,2.8535,2.6685,1.85012,0.00084694,0.00084694,0.00084694
7,292.124,2.66569,2.61443,1.5808,0.27895,0.12766,0.12173,0.05302,2.78361,2.77049,1.77182,0.00096932,0.00096932,0.00096932
8,336.362,2.68646,2.67003,1.59581,0.3319,0.14802,0.14678,0.0635,2.76416,2.68337,1.80967,0.00108536,0.00108536,0.00108536
9,378.978,2.64215,2.64505,1.62322,0.28325,0.14894,0.14902,0.06282,2.72102,2.73891,1.85765,0.00119507,0.00119507,0.00119507
10,423.3,2.66213,2.59826,1.59047,0.42647,0.14894,0.15433,0.08921,2.39375,2.60513,1.70891,0.00129844,0.00129844,0.00129844
11,466.64,2.58604,2.53056,1.58018,0.57337,0.12766,0.16433,0.07664,2.38865,2.48957,1.72956,0.00139548,0.00139548,0.00139548
12,510.738,2.61866,2.48504,1.64817,0.24589,0.21277,0.13923,0.06367,2.5668,2.45417,1.78438,0.00148618,0.00148618,0.00148618
13,553.912,2.52523,2.43849,1.59149,0.61969,0.14894,0.1874,0.10242,2.38927,2.26792,1.59038,0.0015248,0.0015248,0.0015248
14,596.643,2.33849,2.19204,1.50885,0.62879,0.17021,0.18797,0.10429,2.14239,2.11891,1.50827,0.0014852,0.0014852,0.0014852
15,639.531,2.45764,2.35422,1.55187,0.42561,0.19149,0.1994,0.11227,2.28094,2.18531,1.60274,0.0014456,0.0014456,0.0014456
16,682.15,2.38734,2.2543,1.54214,0.69814,0.17021,0.19708,0.10618,2.21413,2.13836,1.56616,0.001406,0.001406,0.001406
17,724.89,2.24857,2.23238,1.48008,0.47913,0.17021,0.17919,0.10876,2.0732,2.18239,1.52281,0.0013664,0.0013664,0.0013664
18,766.763,2.30764,2.20507,1.47325,0.57964,0.21277,0.19968,0.11772,2.08846,2.19751,1.52701,0.0013268,0.0013268,0.0013268
19,808.892,2.24368,2.0951,1.50198,0.42991,0.22484,0.21458,0.11358,2.21263,2.22431,1.56394,0.0012872,0.0012872,0.0012872
20,851.125,2.23691,2.07306,1.46461,0.47119,0.23404,0.2224,0.13108,2.19695,2.16395,1.56532,0.0012476,0.0012476,0.0012476
21,893.128,2.18588,2.06824,1.48232,0.67138,0.19149,0.21228,0.12871,2.23597,2.29998,1.57958,0.001208,0.001208,0.001208
22,934.356,2.31255,2.10756,1.50083,0.51672,0.22771,0.23746,0.13782,2.05623,2.16269,1.47597,0.0011684,0.0011684,0.0011684
