epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9093,4.76294,4.83712,2.10058,0.79697,0.02941,0.02673,0.00296,4.63068,3.76899,2.75036,8e-05,8e-05,8e-05
2,64.0633,4.56302,4.22889,2.30019,0.67848,0.02941,0.02701,0.00279,4.75756,4.05564,2.87266,0.000176436,0.000176436,0.000176436
3,92.1071,4.60181,4.40009,2.34697,0.78331,0.02941,0.02523,0.00505,4.57091,4.20357,3.05389,0.000268912,0.000268912,0.000268912
4,119.733,3.6679,4.23465,2.0317,0.73878,0.02941,0.02603,0.00274,4.40673,4.12698,2.91198,0.000357428,0.000357428,0.000357428
5,147.403,3.55323,3.73064,1.93519,0.14787,0.02941,0.03159,0.00985,3.94874,3.79763,2.53801,0.000441984,0.000441984,0.000441984
6,174.665,3.34478,3.12454,1.88806,0.82008,0.05882,0.06015,0.02691,3.71755,3.72334,2.34488,0.00052258,0.00052258,0.00052258
7,202.269,3.3105,3.39021,1.67879,0.8172,0.05882,0.06465,0.02466,3.60106,3.75057,2.1731,0.000599216,0.000599216,0.000599216
8,230.198,3.12037,2.99576,1.58523,0.44974,0.08824,0.07067,0.0264,3.35787,3.5106,2.06122,0.000671892,0.000671892,0.000671892
9,258.695,3.07394,2.80031,1.6101,0.13687,0.08824,0.03489,0.01614,3.11667,3.33574,1.92765,0.000740608,0.000740608,0.000740608
10,293.737,2.92578,2.68862,1.56739,0.62708,0.05882,0.0394,0.01234,3.00827,3.3666,1.82461,0.000805364,0.000805364,0.000805364
11,331.424,2.89214,2.61466,1.57408,0.25166,0.05882,0.04322,0.02139,2.91137,3.32383,1.74728,0.00086616,0.00086616,0.00086616
12,368.922,2.88563,2.81098,1.44558,0.20657,0.08824,0.04162,0.02143,2.85435,3.09605,1.68631,0.000922996,0.000922996,0.000922996
13,401.101,2.82899,2.85777,1.58645,0.20554,0.07666,0.04366,0.02186,2.89482,3.11294,1.70625,0.000975872,0.000975872,0.000975872
14,428.407,2.7231,2.54034,1.47321,0.15356,0.05882,0.03834,0.02076,3.00829,3.32449,1.75057,0.00102479,0.00102479,0.00102479
15,460.767,2.73156,2.65473,1.44936,0.16984,0.05882,0.03701,0.01816,3.18102,3.46597,1.72901,0.00106974,0.00106974,0.00106974
16,493.397,2.7715,2.58399,1.5229,0.14665,0.05882,0.03299,0.02044,3.15648,3.48218,1.72243,0.00111074,0.00111074,0.00111074
17,528.507,2.76345,2.65336,1.45012,0.15752,0.05882,0.03611,0.02249,2.91231,3.29786,1.64948,0.00114778,0.00114778,0.00114778
18,557.024,2.55307,2.3256,1.40239,0.27197,0.08824,0.0459,0.02257,2.91248,3.18194,1.64303,0.00118085,0.00118085,0.00118085
19,584.791,2.47665,2.43446,1.42285,0.28419,0.08824,0.05032,0.02347,2.9226,3.14886,1.61889,0.00120997,0.00120997,0.00120997
20,612.542,2.58408,2.54114,1.3873,0.29732,0.08824,0.04071,0.01698,2.90296,3.22183,1.56478,0.00123512,0.00123512,0.00123512
21,641.009,2.81865,2.70436,1.45261,0.19727,0.05882,0.04186,0.02405,2.91326,3.17317,1.56498,0.001208,0.001208,0.001208
22,667.982,2.70943,2.6519,1.49099,0.20248,0.05882,0.02964,0.01682,3.02195,3.23193,1.59062,0.0011684,0.0011684,0.0011684
23,694.521,2.67835,2.54101,1.45924,0.18696,0.05882,0.04334,0.02452,3.0007,3.18747,1.5852,0.0011288,0.0011288,0.0011288
24,720.505,2.39707,2.26251,1.35716,0.29909,0.08789,0.04498,0.02055,3.11082,3.06067,1.6473,0.0010892,0.0010892,0.0010892
25,746.156,2.57396,2.46439,1.41744,0.21492,0.08824,0.0442,0.02017,3.16153,3.05679,1.68478,0.0010496,0.0010496,0.0010496
26,772.318,2.63796,2.55064,1.44292,0.25001,0.08824,0.04532,0.0204,3.1491,3.0287,1.65414,0.00101,0.00101,0.00101
27,798.901,2.38778,2.18754,1.28463,0.62234,0.08824,0.0795,0.0307,2.98368,2.91227,1.55074,0.0009704,0.0009704,0.0009704
