epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4421,3.18284,4.84869,3.05328,0.00067,0.2,0.00067,7e-05,3.86745,5.38064,3.98838,8e-05,8e-05,8e-05
2,54.502,2.56305,4.11763,2.32024,0.00333,1,0.45823,0.20271,1.81398,4.92578,1.73892,0.000176436,0.000176436,0.000176436
3,80.1206,2.21685,3.7102,1.81728,0.00333,1,0.8825,0.52592,1.50796,3.84963,1.33914,0.000268912,0.000268912,0.000268912
4,105.829,1.87128,3.24817,1.59381,0.00333,1,0.9575,0.60256,1.32021,3.47585,1.24739,0.000357428,0.000357428,0.000357428
5,131.311,1.66005,2.79446,1.46043,0.00333,1,0.89578,0.51055,1.28184,3.34809,1.2936,0.000441984,0.000441984,0.000441984
6,156.552,1.61555,2.42625,1.37068,0.00333,1,0.995,0.47216,1.49433,3.47555,1.27103,0.00052258,0.00052258,0.00052258
7,182.173,1.68206,2.36767,1.40976,0.00333,1,0.96192,0.37447,1.86171,3.77029,1.41293,0.000599216,0.000599216,0.000599216
8,210.301,1.53413,1.93489,1.31042,0.00333,1,0.24495,0.04742,2.58333,4.44273,2.54278,0.000671892,0.000671892,0.000671892
9,236.588,1.83387,2.25734,1.47994,0.00333,1,0.82096,0.32882,1.96791,3.54981,1.60732,0.000740608,0.000740608,0.000740608
10,262.804,1.53582,1.92692,1.31604,1,0.96028,0.995,0.53399,1.65524,2.82875,1.27277,0.000805364,0.000805364,0.000805364
11,288.052,1.42186,1.82646,1.25833,1,0.96324,0.995,0.28909,2.15774,3.07074,2.0864,0.00086616,0.00086616,0.00086616
12,313.397,1.49823,1.74444,1.27787,1,0.47859,0.8814,0.39874,1.67554,3.0869,1.30053,0.000922996,0.000922996,0.000922996
13,338.559,1.70198,2.25205,1.49149,1,0.46538,0.71158,0.29519,1.72013,3.31187,1.45398,0.000975872,0.000975872,0.000975872
14,364.065,1.47063,1.81096,1.30407,1,0.87396,0.89724,0.53047,1.61542,2.54882,1.50968,0.00102479,0.00102479,0.00102479
15,389.431,1.51451,1.85418,1.31012,0.9253,0.5,0.83993,0.41669,1.57358,2.98616,1.49525,0.00106974,0.00106974,0.00106974
16,414.754,1.33704,1.7457,1.25114,0.06227,0.7,0.26109,0.15944,1.26876,3.63363,1.41414,0.00111074,0.00111074,0.00111074
17,440.524,1.22127,1.67129,1.21213,1,0.39804,0.79955,0.42795,1.2277,3.00765,1.2897,0.00114778,0.00114778,0.00114778
18,465.583,1.26666,1.53824,1.1855,0.99676,0.8,0.96167,0.53521,1.27826,2.60475,1.30326,0.00118085,0.00118085,0.00118085
19,491.279,1.17891,1.64492,1.19583,0.9896,0.5,0.88333,0.46015,1.12045,2.96163,1.26726,0.00120997,0.00120997,0.00120997
20,518.593,1.44488,1.61006,1.3682,1,0.98702,0.995,0.74395,0.80419,2.24499,1.02854,0.00123512,0.00123512,0.00123512
21,543.941,1.17618,1.37195,1.16944,0.98925,1,0.995,0.62614,1.37537,2.53433,1.42668,0.001208,0.001208,0.001208
22,569.468,1.32025,1.37661,1.20314,1,0.78351,0.98591,0.72507,1.08513,2.41092,1.18326,0.0011684,0.0011684,0.0011684
23,594.802,1.28411,1.40683,1.21506,1,0.89394,0.98591,0.62888,1.19132,2.20286,1.18065,0.0011288,0.0011288,0.0011288
24,620.104,1.26446,1.41285,1.22445,0.80844,0.8464,0.88237,0.6589,1.17422,2.32306,1.21618,0.0010892,0.0010892,0.0010892
25,645.406,1.33241,1.61454,1.30225,0.87209,0.68368,0.81314,0.5466,1.14183,2.32682,1.19342,0.0010496,0.0010496,0.0010496
26,670.511,1.27129,1.42957,1.23054,0.89303,0.83727,0.95643,0.63598,1.07581,2.05494,1.15073,0.00101,0.00101,0.00101
27,696.012,1.16466,1.31381,1.18874,0.96898,1,0.995,0.70008,0.94476,2.01013,1.09924,0.0009704,0.0009704,0.0009704
28,721.542,1.08228,1.23497,1.17147,0.9899,1,0.995,0.67054,1.05456,1.67747,1.18429,0.0009308,0.0009308,0.0009308
29,746.499,0.96967,1.18699,1.11222,0.9935,1,0.995,0.63938,1.00152,1.4519,1.12704,0.0008912,0.0008912,0.0008912
30,771.789,0.97561,1.04231,1.04856,0.9923,1,0.995,0.70088,0.95379,1.45982,1.10604,0.0008516,0.0008516,0.0008516
31,797.138,1.039,1.28123,1.1208,0.99229,1,0.995,0.80622,0.91258,1.49804,1.09261,0.000812,0.000812,0.000812
32,823.261,0.95711,1.07891,1.07471,0.98677,1,0.995,0.86082,0.69206,1.38809,0.95142,0.0007724,0.0007724,0.0007724
33,848.639,0.99066,1.0908,1.06105,0.99224,1,0.995,0.68049,0.9802,1.34917,1.10184,0.0007328,0.0007328,0.0007328
34,874.927,0.95962,1.04289,1.08708,0.99372,1,0.995,0.7705,0.77415,1.2362,1.00137,0.0006932,0.0006932,0.0006932
35,900.124,0.92906,1.10746,1.07789,0.99445,1,0.995,0.83947,0.61086,1.03343,0.92439,0.0006536,0.0006536,0.0006536
36,924.958,0.898,1.07834,1.05453,0.99485,1,0.995,0.89173,0.58319,1.04203,0.91105,0.000614,0.000614,0.000614
37,949.944,0.89307,1.04241,1.06137,0.99445,1,0.995,0.80956,0.71466,1.15478,0.98226,0.0005744,0.0005744,0.0005744
38,975.126,0.87648,0.94929,1.03134,0.9941,1,0.995,0.80057,0.80709,1.23424,1.04211,0.0005348,0.0005348,0.0005348
39,1000.47,0.85211,1.02061,1.04776,0.99444,1,0.995,0.8276,0.68911,1.19455,0.97027,0.0004952,0.0004952,0.0004952
40,1025.77,0.8998,1.00679,1.04865,0.99473,1,0.995,0.88319,0.58639,1.02114,0.90796,0.0004556,0.0004556,0.0004556
41,1050.91,0.80817,1.08112,1.01968,0.99429,1,0.995,0.76357,0.93568,1.10272,1.11369,0.000416,0.000416,0.000416
42,1075.97,0.68331,0.98031,0.9358,0.99348,1,0.995,0.6533,1.25592,1.14664,1.33844,0.0003764,0.0003764,0.0003764
43,1101.28,0.73149,0.99145,0.9344,0.99395,1,0.995,0.61772,1.35629,1.18498,1.41063,0.0003368,0.0003368,0.0003368
44,1126.56,0.65938,1.05016,0.95713,0.99432,1,0.995,0.78596,0.86696,1.07758,1.03059,0.0002972,0.0002972,0.0002972
45,1152.05,0.57747,0.94947,0.90254,0.99468,1,0.995,0.89736,0.51336,0.98833,0.87882,0.0002576,0.0002576,0.0002576
46,1177.7,0.57396,0.94163,0.90641,0.99469,1,0.995,0.93854,0.40781,0.9246,0.8389,0.000218,0.000218,0.000218
47,1202.83,0.69269,0.93893,0.92718,0.99481,1,0.995,0.94004,0.40148,0.88889,0.83761,0.0001784,0.0001784,0.0001784
48,1228.03,0.59943,0.89493,0.92591,0.99498,1,0.995,0.87255,0.56484,0.88808,0.90371,0.0001388,0.0001388,0.0001388
49,1253.3,0.55464,0.84205,0.8686,0.99505,1,0.995,0.8201,0.64258,0.89788,0.93319,9.92e-05,9.92e-05,9.92e-05
50,1278.52,0.57591,0.84973,0.89934,0.99505,1,0.995,0.83086,0.62432,0.88021,0.92546,5.96e-05,5.96e-05,5.96e-05
