epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.2962,2.15747,1.56774,2.10394,0.79412,0.8,0.83223,0.49066,1.55572,1.09603,1.70786,0.00018,0.00018,0.00018
2,124.473,1.50403,1.05895,1.4998,0.79356,0.8,0.8516,0.55946,1.40824,0.90897,1.47237,0.000372476,0.000372476,0.000372476
3,178.731,1.29345,1.01181,1.34082,0.81411,1,0.95611,0.65641,1.19414,0.73759,1.41137,0.000557032,0.000557032,0.000557032
4,232.203,1.19448,0.90695,1.24708,0.82549,0.94623,0.9571,0.68228,1.12469,0.71222,1.32562,0.000733668,0.000733668,0.000733668
5,285.631,1.10953,0.81241,1.19938,0.94085,0.79559,0.94582,0.68679,1.04468,0.76819,1.25777,0.000902384,0.000902384,0.000902384
6,339.292,1.14826,0.82325,1.22397,0.94933,0.93734,0.97417,0.67155,1.11976,0.65084,1.24727,0.00106318,0.00106318,0.00106318
7,392.571,1.04934,0.80303,1.19164,0.94206,1,0.99262,0.73318,0.95087,0.54118,1.16724,0.00121606,0.00121606,0.00121606
8,447.392,1.04546,0.76642,1.15141,0.9801,1,0.995,0.71683,1.05329,0.53262,1.22766,0.00136101,0.00136101,0.00136101
9,500.94,1.04415,0.71441,1.14217,0.98057,1,0.995,0.77649,0.88432,0.56174,1.14864,0.00149805,0.00149805,0.00149805
10,554.752,1.00276,0.71343,1.11833,0.94022,0.95,0.98598,0.75339,0.93453,0.60157,1.19031,0.00162716,0.00162716,0.00162716
11,609.795,0.9984,0.77511,1.1284,0.99215,0.95,0.99262,0.78839,0.80794,0.53911,1.10777,0.001604,0.001604,0.001604
12,662.779,1.02968,0.73255,1.10863,1,0.99167,0.995,0.80687,0.79063,0.50454,1.06242,0.0015644,0.0015644,0.0015644
13,715.839,0.98017,0.64193,1.0913,1,0.98335,0.995,0.77248,0.877,0.46266,1.13042,0.0015248,0.0015248,0.0015248
14,769.578,0.96916,0.67394,1.06057,0.95194,0.99078,0.99024,0.76721,0.91573,0.45537,1.16525,0.0014852,0.0014852,0.0014852
15,822.958,0.94758,0.6319,1.0933,0.9935,1,0.995,0.73847,1.01404,0.50601,1.22235,0.0014456,0.0014456,0.0014456
16,876.389,0.94668,0.66184,1.05324,1,0.99673,0.995,0.78003,0.85431,0.45925,1.1088,0.001406,0.001406,0.001406
17,929.566,0.90102,0.63215,1.07724,1,0.99915,0.995,0.80514,0.77995,0.46567,1.04981,0.0013664,0.0013664,0.0013664
18,983.114,0.88,0.62455,1.0676,0.95232,1,0.995,0.82786,0.70006,0.4308,1.02363,0.0013268,0.0013268,0.0013268
19,1037.19,0.84369,0.58988,1.0349,0.9726,1,0.995,0.83795,0.69716,0.42782,1.03447,0.0012872,0.0012872,0.0012872
20,1090.66,0.84207,0.58927,1.03934,0.94661,1,0.99262,0.85674,0.64258,0.42371,1.02715,0.0012476,0.0012476,0.0012476
21,1143.98,0.86869,0.63929,1.06639,0.95194,0.99082,0.99262,0.82149,0.7016,0.41947,1.04599,0.001208,0.001208,0.001208
22,1197.47,0.8316,0.61949,1.03888,0.99601,0.95,0.99045,0.80207,0.75311,0.4481,1.05519,0.0011684,0.0011684,0.0011684
23,1250.86,0.85306,0.60389,1.0381,0.98625,1,0.995,0.81943,0.69093,0.41333,1.03524,0.0011288,0.0011288,0.0011288
24,1304.59,0.83451,0.59369,1.0191,0.99556,1,0.995,0.85181,0.65332,0.39963,1.01229,0.0010892,0.0010892,0.0010892
25,1363.15,0.84723,0.56721,1.02172,0.9947,1,0.995,0.84415,0.69506,0.4184,1.02031,0.0010496,0.0010496,0.0010496
26,1422.22,0.7966,0.56675,1.00648,0.98974,1,0.995,0.88671,0.60672,0.39018,0.97176,0.00101,0.00101,0.00101
27,1480.85,0.80524,0.58419,1.03341,0.95079,1,0.995,0.87545,0.58274,0.38782,0.95657,0.0009704,0.0009704,0.0009704
28,1541.04,0.72754,0.54635,0.98967,1,0.99715,0.995,0.87871,0.63822,0.39719,0.99285,0.0009308,0.0009308,0.0009308
29,1595.48,0.81541,0.58816,1.03457,1,0.98849,0.995,0.88867,0.64592,0.38936,1.00808,0.0008912,0.0008912,0.0008912
30,1649.67,0.75313,0.53196,1.01535,0.98624,0.95,0.99262,0.85886,0.63473,0.39115,1.01955,0.0008516,0.0008516,0.0008516
31,1703.54,0.77267,0.54089,1.00094,1,0.9917,0.995,0.86485,0.55969,0.35111,0.99261,0.000812,0.000812,0.000812
32,1756.91,0.82008,0.59209,1.05027,0.99677,1,0.995,0.86437,0.61624,0.371,0.98271,0.0007724,0.0007724,0.0007724
33,1810.35,0.75498,0.52887,0.99513,0.99595,1,0.995,0.88404,0.53531,0.3634,0.94614,0.0007328,0.0007328,0.0007328
34,1864.5,0.72331,0.51455,0.97989,0.99604,1,0.995,0.87132,0.57094,0.33735,0.94879,0.0006932,0.0006932,0.0006932
35,1917.85,0.639,0.43933,0.94079,0.99615,1,0.995,0.89734,0.52732,0.35791,0.9394,0.0006536,0.0006536,0.0006536
36,1971.28,0.69365,0.4978,0.96426,0.9947,1,0.995,0.89926,0.55856,0.37033,0.94024,0.000614,0.000614,0.000614
37,2025.4,0.67849,0.48952,0.95142,0.99272,1,0.995,0.89653,0.51676,0.38618,0.92408,0.0005744,0.0005744,0.0005744
38,2081.14,0.6932,0.50275,0.96158,0.99522,1,0.995,0.89742,0.55412,0.37289,0.93786,0.0005348,0.0005348,0.0005348
39,2142.65,0.7141,0.47865,0.99904,0.99304,1,0.995,0.8868,0.48309,0.3541,0.91593,0.0004952,0.0004952,0.0004952
40,2204.09,0.77203,0.56191,1.02742,0.99526,1,0.995,0.91607,0.5014,0.33112,0.91994,0.0004556,0.0004556,0.0004556
41,2261.72,0.59088,0.40855,0.93632,0.99488,1,0.995,0.90068,0.5319,0.34289,0.92578,0.000416,0.000416,0.000416
42,2315.56,0.56197,0.37804,0.94429,0.99191,1,0.995,0.90503,0.50088,0.32515,0.91592,0.0003764,0.0003764,0.0003764
43,2369.59,0.55854,0.3707,0.91523,0.99307,1,0.995,0.89676,0.52464,0.32869,0.92829,0.0003368,0.0003368,0.0003368
44,2425,0.52336,0.35192,0.9094,0.99489,1,0.995,0.89264,0.54998,0.33913,0.93392,0.0002972,0.0002972,0.0002972
45,2481.72,0.54347,0.36147,0.93852,1,0.99004,0.995,0.89704,0.50702,0.33255,0.92586,0.0002576,0.0002576,0.0002576
46,2532.78,0.54004,0.35893,0.92131,1,0.98565,0.995,0.90505,0.48795,0.3195,0.9245,0.000218,0.000218,0.000218
47,2583.98,0.51125,0.35229,0.91814,1,0.99056,0.995,0.91661,0.48219,0.32203,0.92257,0.0001784,0.0001784,0.0001784
48,2634.91,0.50315,0.33282,0.91055,1,0.99425,0.995,0.91625,0.50161,0.32444,0.92194,0.0001388,0.0001388,0.0001388
49,2685.8,0.49904,0.34218,0.88162,0.99569,1,0.995,0.91631,0.49425,0.32353,0.91678,9.92e-05,9.92e-05,9.92e-05
50,2738.32,0.47887,0.33995,0.89908,0.99514,1,0.995,0.91401,0.48751,0.32467,0.91206,5.96e-05,5.96e-05,5.96e-05
