epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.599,2.26718,3.32249,2.18834,0.99302,1,0.995,0.94804,0.38857,0.87374,0.83588,0,0,0
2,2.89418,1.8769,3.4526,1.6319,0.993,1,0.995,0.9622,0.39667,0.86806,0.84001,1.9802e-05,1.9802e-05,1.9802e-05
3,4.15251,1.88798,3.98597,1.87654,0.99312,1,0.995,0.9622,0.4189,0.86574,0.84745,3.9208e-05,3.9208e-05,3.9208e-05
4,5.38035,1.92582,3.8747,1.84093,0.99312,1,0.995,0.91679,0.44758,0.88391,0.85592,5.8218e-05,5.8218e-05,5.8218e-05
5,6.5988,2.6765,2.8217,1.98541,0.99325,1,0.995,0.90281,0.48551,0.91008,0.87196,7.6832e-05,7.6832e-05,7.6832e-05
6,7.81711,2.36433,2.27522,1.63019,0.99313,1,0.995,0.90281,0.50176,0.93005,0.88088,9.505e-05,9.505e-05,9.505e-05
7,9.02842,1.28234,2.0449,1.10084,0.99313,1,0.995,0.89185,0.54237,0.9729,0.89973,0.000112872,0.000112872,0.000112872
8,10.2574,1.72412,1.20146,1.6169,0.99312,1,0.995,0.86652,0.61362,0.97444,0.94001,0.000130298,0.000130298,0.000130298
9,11.478,1.82246,3.12407,1.84286,0.99298,1,0.995,0.82523,0.69003,0.96869,0.98803,0.000147328,0.000147328,0.000147328
10,12.837,1.39049,1.90525,1.19771,0.99273,1,0.995,0.82557,0.75082,0.97357,1.02716,0.000163962,0.000163962,0.000163962
11,14.0488,1.27588,3.62042,1.7098,0.99215,1,0.995,0.78758,0.81116,0.99039,1.06683,0.0001802,0.0001802,0.0001802
12,15.2413,1.41361,1.86342,1.37208,0.99114,1,0.995,0.75118,0.899,1.02124,1.12036,0.000196042,0.000196042,0.000196042
13,16.4492,1.62332,1.09565,1.25682,0.99102,1,0.995,0.73424,0.9572,1.03418,1.15837,0.000211488,0.000211488,0.000211488
14,17.669,2.03043,2.70864,1.88051,0.9896,1,0.995,0.73424,1.01006,1.07292,1.19033,0.000226538,0.000226538,0.000226538
15,18.9009,1.70753,1.4769,2.01251,0.98756,1,0.995,0.70404,1.04369,1.11517,1.2154,0.000241192,0.000241192,0.000241192
16,20.1318,3.10995,3.91923,3.11282,0.98837,1,0.995,0.68772,1.06184,1.129,1.22685,0.00025545,0.00025545,0.00025545
17,21.3794,1.71861,1.68633,1.75524,0.99091,1,0.995,0.70599,1.0337,1.12487,1.20402,0.000269312,0.000269312,0.000269312
18,22.6342,1.00378,1.59244,1.21447,0.99091,1,0.995,0.70599,1.0337,1.12487,1.20402,0.000282778,0.000282778,0.000282778
19,24.0073,1.83051,1.26884,1.55625,0.99158,1,0.995,0.7029,0.98227,1.13224,1.16825,0.000295848,0.000295848,0.000295848
20,25.3182,1.40335,2.55065,1.22026,0.99158,1,0.995,0.7029,0.98227,1.13224,1.16825,0.000308522,0.000308522,0.000308522
21,26.5604,2.78706,4.01404,1.84237,0.99019,1,0.995,0.71888,1.01575,1.13751,1.19101,0.0003208,0.0003208,0.0003208
22,27.8699,1.4251,2.54039,1.5489,0.99019,1,0.995,0.71888,1.01575,1.13751,1.19101,0.000332682,0.000332682,0.000332682
23,29.0939,0.80315,1.41208,1.06511,0.98738,1,0.995,0.73538,1.03233,1.11315,1.20215,0.000344168,0.000344168,0.000344168
24,30.2895,1.04545,2.16716,1.07956,0.98738,1,0.995,0.73538,1.03233,1.11315,1.20215,0.000355258,0.000355258,0.000355258
25,31.5034,1.29839,1.43555,1.34419,0.9884,1,0.995,0.73344,1.02481,1.1435,1.19004,0.000365952,0.000365952,0.000365952
26,32.6579,1.04694,2.4237,1.26904,0.9884,1,0.995,0.73344,1.02481,1.1435,1.19004,0.00037625,0.00037625,0.00037625
