epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2666,3.4296,3.68479,2.00978,0.95999,0.02857,0.03356,0.01619,3.18375,3.3285,2.08507,0.00024,0.00024,0.00024
2,130.539,3.08478,3.30235,1.80466,0.65315,0.02857,0.03118,0.01579,3.30245,3.35263,1.99502,0.00049505,0.00049505,0.00049505
3,195.128,3.10166,3.29083,1.79018,0.64829,0.02857,0.02955,0.0152,3.41807,3.43877,2.27023,0.000744952,0.000744952,0.000744952
4,258.382,2.83111,3.00761,1.67972,0.54084,0.02857,0.02951,0.01715,2.94588,3.56732,1.65438,0.000989706,0.000989706,0.000989706
5,322.178,2.93305,2.96799,1.65574,0.86597,0.02857,0.03176,0.01927,2.96951,3.33028,1.6035,0.00122931,0.00122931,0.00122931
6,385.365,3.1643,3.15455,1.73146,0.94581,0.01429,0.01914,0.01321,3.39661,3.54619,1.63626,0.00146377,0.00146377,0.00146377
7,449.891,2.90942,2.96527,1.66096,0.35066,0.02857,0.04096,0.01439,3.17866,3.38007,1.70069,0.00169308,0.00169308,0.00169308
8,513.121,3.03391,3.08413,1.659,0.56714,0.02857,0.02529,0.01477,3.20967,3.49028,1.74504,0.0018614,0.0018614,0.0018614
9,576.758,2.89113,2.88414,1.61428,0.19252,0.07143,0.05221,0.01439,3.1015,3.31595,1.715,0.0018416,0.0018416,0.0018416
10,639.565,2.81529,2.76598,1.63785,0.18244,0.05714,0.03963,0.01457,3.25362,3.42745,1.83235,0.0018218,0.0018218,0.0018218
11,702.135,2.78804,2.70588,1.60111,0.25686,0.07143,0.05321,0.01876,3.1971,3.21981,1.85403,0.001802,0.001802,0.001802
12,765.574,2.73609,2.7797,1.51892,0.11054,0.05714,0.02464,0.00664,3.30876,3.72365,2.14884,0.0017822,0.0017822,0.0017822
13,828.162,2.82822,2.71046,1.51339,0.10284,0.04286,0.04088,0.0155,3.08396,3.16225,1.86467,0.0017624,0.0017624,0.0017624
14,892.008,2.69722,2.57585,1.49821,0.20749,0.14286,0.06774,0.02221,3.04289,2.8512,1.75393,0.0017426,0.0017426,0.0017426
15,955.19,2.70715,2.58963,1.49599,0.25527,0.12857,0.07091,0.02522,3.03709,2.97154,1.75183,0.0017228,0.0017228,0.0017228
16,1017.56,2.64205,2.65566,1.55023,0.19553,0.12506,0.07633,0.02621,3.07288,2.84615,1.76012,0.001703,0.001703,0.001703
17,1079.68,2.76761,2.68337,1.52873,0.45364,0.12857,0.11368,0.03595,2.84005,2.78928,1.59942,0.0016832,0.0016832,0.0016832
18,1142.31,2.69126,2.55282,1.47956,0.2422,0.15714,0.09326,0.02791,3.10095,2.83449,1.66318,0.0016634,0.0016634,0.0016634
19,1204.97,2.59103,2.46764,1.46899,0.23887,0.18571,0.12966,0.04299,2.87732,2.8262,1.61509,0.0016436,0.0016436,0.0016436
20,1267.77,2.65004,2.69125,1.52376,0.13903,0.15714,0.08878,0.03113,2.81757,2.7695,1.58686,0.0016238,0.0016238,0.0016238
21,1330.44,2.60013,2.41076,1.44935,0.2219,0.17143,0.1499,0.06096,2.68027,2.56352,1.52608,0.001604,0.001604,0.001604
22,1394.36,2.58462,2.49679,1.44307,0.27293,0.17143,0.16315,0.05585,2.63878,2.52107,1.54314,0.0015842,0.0015842,0.0015842
23,1458.89,2.5694,2.42529,1.44803,0.25178,0.21429,0.12412,0.05263,2.66178,2.62566,1.53558,0.0015644,0.0015644,0.0015644
24,1521.61,2.53523,2.34303,1.43198,0.42177,0.2,0.17581,0.06855,2.73368,2.50404,1.42879,0.0015446,0.0015446,0.0015446
25,1584.93,2.539,2.41085,1.46336,0.30045,0.1718,0.1346,0.05388,2.73609,2.54966,1.52682,0.0015248,0.0015248,0.0015248
26,1647.98,2.66513,2.43647,1.44953,0.38806,0.17143,0.13568,0.04823,2.79702,2.56849,1.53488,0.001505,0.001505,0.001505
27,1711.5,2.47019,2.26855,1.43301,0.41418,0.2,0.14627,0.05901,2.53511,2.42094,1.42689,0.0014852,0.0014852,0.0014852
28,1775.56,2.4174,2.2306,1.3909,0.34604,0.2,0.15423,0.06237,2.56997,2.26729,1.44962,0.0014654,0.0014654,0.0014654
29,1839.43,2.33932,2.17177,1.35212,0.36339,0.22857,0.17957,0.07489,2.56237,2.17402,1.41919,0.0014456,0.0014456,0.0014456
30,1902.3,2.35244,2.1729,1.4211,0.31696,0.2,0.15835,0.06865,2.51859,2.31231,1.43208,0.0014258,0.0014258,0.0014258
31,1966.04,2.30297,2.15933,1.4002,0.43786,0.2,0.20089,0.07508,2.50661,2.38285,1.43326,0.001406,0.001406,0.001406
32,2029.86,2.23314,2.11307,1.31146,0.32149,0.24286,0.19962,0.08052,2.44946,2.35341,1.44809,0.0013862,0.0013862,0.0013862
33,2093.05,2.28191,2.11351,1.33011,0.30784,0.21429,0.17297,0.06879,2.44764,2.2976,1.41373,0.0013664,0.0013664,0.0013664
34,2156.78,2.32501,2.12425,1.34485,0.3129,0.2,0.18642,0.06656,2.49394,2.28182,1.43656,0.0013466,0.0013466,0.0013466
35,2220.69,2.39891,2.17882,1.33259,0.32284,0.19756,0.18932,0.07623,2.46253,2.19422,1.44889,0.0013268,0.0013268,0.0013268
36,2284.21,2.25477,2.0392,1.32659,0.27566,0.20666,0.18219,0.07172,2.40253,2.34399,1.40811,0.001307,0.001307,0.001307
37,2348.19,2.17317,1.92363,1.27816,0.46333,0.15714,0.17754,0.08026,2.4751,2.25677,1.4819,0.0012872,0.0012872,0.0012872
38,2411.68,2.30571,2.21618,1.30532,0.40023,0.2,0.2072,0.08923,2.39265,2.20143,1.44018,0.0012674,0.0012674,0.0012674
39,2476.67,2.20379,1.94762,1.31603,0.34464,0.22857,0.20707,0.07965,2.49927,2.25722,1.46535,0.0012476,0.0012476,0.0012476
40,2540.23,2.21479,2.00322,1.3287,0.48803,0.28571,0.23539,0.11207,2.27524,2.07173,1.39271,0.0012278,0.0012278,0.0012278
41,2603.88,2.24468,2.05228,1.31786,0.54776,0.28571,0.25801,0.12082,2.29714,2.12599,1.40784,0.001208,0.001208,0.001208
42,2668.11,2.11427,1.94465,1.29737,0.46335,0.28571,0.24701,0.11945,2.28567,2.10252,1.37142,0.0011882,0.0011882,0.0011882
43,2731.52,2.14732,2.04359,1.31664,0.49904,0.3131,0.27365,0.11226,2.21812,2.13161,1.35208,0.0011684,0.0011684,0.0011684
44,2795.2,2.19129,1.98857,1.3463,0.57711,0.28571,0.25289,0.10023,2.40393,2.08478,1.4953,0.0011486,0.0011486,0.0011486
45,2858.98,2.0939,1.8589,1.29468,0.52747,0.3,0.26349,0.1134,2.354,2.10786,1.45656,0.0011288,0.0011288,0.0011288
46,2923.01,2.08893,1.84193,1.22966,0.37411,0.31429,0.2427,0.10617,2.27517,2.13297,1.4142,0.001109,0.001109,0.001109
47,2986.7,2.0372,1.91522,1.21504,0.40143,0.25714,0.23118,0.11414,2.20716,2.04821,1.39006,0.0010892,0.0010892,0.0010892
48,3050.16,2.08576,1.86553,1.2657,0.3833,0.3,0.24143,0.12324,2.15346,2.08068,1.35282,0.0010694,0.0010694,0.0010694
49,3113.96,2.10262,1.91036,1.28219,0.45195,0.27143,0.27049,0.12932,2.22112,2.02363,1.39156,0.0010496,0.0010496,0.0010496
50,3178.06,2.01375,1.82908,1.23664,0.67072,0.23291,0.28147,0.13646,2.29834,1.97545,1.37922,0.0010298,0.0010298,0.0010298
51,3242.33,1.94161,1.74277,1.23545,0.48409,0.31429,0.2822,0.1065,2.40022,1.97285,1.43748,0.00101,0.00101,0.00101
52,3306.08,2.04496,1.75936,1.21045,0.6125,0.27143,0.28342,0.10534,2.30863,1.9598,1.45367,0.0009902,0.0009902,0.0009902
53,3370.06,2.04492,1.71194,1.21283,0.41101,0.31429,0.24921,0.11379,2.17073,1.98879,1.38314,0.0009704,0.0009704,0.0009704
54,3433.71,2.01277,1.77207,1.25681,0.48786,0.28571,0.25729,0.1305,2.14986,2.00022,1.35529,0.0009506,0.0009506,0.0009506
55,3497.68,1.99075,1.73489,1.21619,0.5825,0.299,0.27691,0.11048,2.37345,2.09495,1.36932,0.0009308,0.0009308,0.0009308
56,3562.69,1.98666,1.77865,1.1912,0.47612,0.25714,0.26077,0.12522,2.17341,2.00552,1.27964,0.000911,0.000911,0.000911
57,3626.85,2.1447,1.88081,1.2498,0.64538,0.26007,0.28736,0.14029,2.1192,1.97595,1.31612,0.0008912,0.0008912,0.0008912
58,3690.91,2.06085,1.7491,1.25283,0.50789,0.29496,0.28198,0.14913,2.0491,1.9419,1.28499,0.0008714,0.0008714,0.0008714
59,3755.19,1.92175,1.63435,1.18597,0.41188,0.25714,0.26525,0.1432,2.0722,1.91889,1.26531,0.0008516,0.0008516,0.0008516
60,3819.75,1.97447,1.70008,1.24762,0.46505,0.32296,0.28139,0.14689,2.09703,1.88233,1.31828,0.0008318,0.0008318,0.0008318
61,3883.21,1.90408,1.74475,1.21827,0.44642,0.3111,0.28431,0.15102,2.1881,1.92555,1.38139,0.000812,0.000812,0.000812
62,3946.45,2.00409,1.82461,1.2139,0.67665,0.31429,0.34065,0.14816,2.14329,1.93939,1.31054,0.0007922,0.0007922,0.0007922
