epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3905,2.26197,1.78748,1.2891,1,0.23574,0.23872,0.15196,1.53184,1.3323,1.10389,8e-05,8e-05,8e-05
2,58.9415,2.08478,1.73911,1.21978,0.65393,0.26316,0.25441,0.16098,1.63726,1.31107,1.09931,0.000176436,0.000176436,0.000176436
3,85.1229,1.94849,1.49347,1.18646,0.555,0.26316,0.24797,0.14136,1.75777,1.42738,1.17798,0.000268912,0.000268912,0.000268912
4,111.062,1.8489,1.45011,1.13314,0.86196,0.21053,0.24406,0.13191,1.97693,1.38556,1.22361,0.000357428,0.000357428,0.000357428
5,136.458,1.93668,1.57584,1.11271,0.85979,0.21053,0.23886,0.14093,1.94926,1.38194,1.19309,0.000441984,0.000441984,0.000441984
6,162.262,1.86918,1.45831,1.09528,0.96554,0.21053,0.24361,0.14936,1.80403,1.34324,1.14919,0.00052258,0.00052258,0.00052258
7,188.474,1.96324,1.66618,1.10441,0.643,0.26316,0.2542,0.14252,1.83268,1.34683,1.12794,0.000599216,0.000599216,0.000599216
8,214.352,1.8162,1.48912,1.06667,0.83136,0.25973,0.26024,0.13419,1.71446,1.33744,1.10935,0.000671892,0.000671892,0.000671892
9,240.831,1.73932,1.40057,1.08351,0.82702,0.26316,0.26411,0.14803,1.68952,1.39103,1.07854,0.000740608,0.000740608,0.000740608
10,267.236,1.77884,1.37506,1.07928,0.9398,0.21053,0.25154,0.15046,1.65782,1.38876,1.05816,0.000805364,0.000805364,0.000805364
11,293.452,1.75149,1.32114,1.07261,0.58665,0.22454,0.23201,0.15596,1.56036,1.32927,1.02891,0.00086616,0.00086616,0.00086616
12,320.205,1.905,1.46599,1.13537,0.65449,0.2497,0.24459,0.14283,1.55816,1.27904,1.02724,0.000922996,0.000922996,0.000922996
13,346.507,1.95186,1.56592,1.11784,0.94044,0.23684,0.25215,0.1331,1.64307,1.34809,1.04095,0.000975872,0.000975872,0.000975872
14,372.953,1.84533,1.42944,1.09281,0.94777,0.23684,0.24426,0.13299,1.67701,1.42142,1.07621,0.00102479,0.00102479,0.00102479
15,398.738,1.9029,1.4839,1.08948,0.86444,0.21053,0.21975,0.14534,1.63455,1.44228,1.07128,0.00106974,0.00106974,0.00106974
16,425.424,1.71434,1.43082,1.05867,0.84782,0.21053,0.22259,0.14931,1.6579,1.39379,1.07061,0.00111074,0.00111074,0.00111074
17,452.272,1.91595,1.47184,1.13044,0.59228,0.23684,0.23771,0.15324,1.63204,1.37279,1.0522,0.00114778,0.00114778,0.00114778
18,478.342,1.93876,1.46365,1.08342,0.69428,0.26316,0.26335,0.15876,1.56136,1.32233,1.02735,0.00118085,0.00118085,0.00118085
19,504.108,1.68104,1.38391,1.08434,0.95703,0.23684,0.26099,0.15133,1.55875,1.35979,1.0436,0.00120997,0.00120997,0.00120997
20,530.261,1.77366,1.40212,1.10278,0.74555,0.21053,0.22501,0.14552,1.61562,1.37551,1.11623,0.00123512,0.00123512,0.00123512
21,555.761,1.86708,1.5102,1.10454,0.84417,0.18421,0.21834,0.14903,1.60866,1.39028,1.11716,0.001208,0.001208,0.001208
22,582.523,1.74954,1.36378,1.06227,0.96059,0.21053,0.24494,0.15964,1.55107,1.3859,1.08511,0.0011684,0.0011684,0.0011684
23,608.744,1.78012,1.37412,1.07746,0.96214,0.21053,0.24261,0.16345,1.53278,1.35346,1.06584,0.0011288,0.0011288,0.0011288
24,634.353,1.70683,1.31433,1.06564,0.97585,0.21053,0.24759,0.15984,1.58595,1.35015,1.07544,0.0010892,0.0010892,0.0010892
25,660.593,1.79659,1.4183,1.07901,0.67053,0.23684,0.25307,0.15471,1.59713,1.36538,1.07583,0.0010496,0.0010496,0.0010496
26,685.963,1.6999,1.35528,1.09139,0.75113,0.26316,0.2645,0.16148,1.48789,1.26977,1.03875,0.00101,0.00101,0.00101
27,711.418,1.80075,1.42353,1.10162,0.73377,0.26316,0.26294,0.15949,1.53026,1.34097,1.04182,0.0009704,0.0009704,0.0009704
28,737.106,1.74548,1.32269,1.09918,0.69965,0.26316,0.2618,0.1536,1.52731,1.34732,1.03615,0.0009308,0.0009308,0.0009308
29,762.663,1.84694,1.38921,1.09257,0.6475,0.23684,0.26051,0.1497,1.50389,1.34514,1.03178,0.0008912,0.0008912,0.0008912
30,788.33,1.75276,1.3298,1.06538,0.72624,0.23684,0.25825,0.15122,1.55975,1.30878,1.05382,0.0008516,0.0008516,0.0008516
31,813.933,1.90149,1.42817,1.11073,0.72932,0.23684,0.25555,0.13726,1.61478,1.34763,1.07457,0.000812,0.000812,0.000812
32,841.848,1.67105,1.3347,1.0335,0.74137,0.23684,0.25515,0.15397,1.7511,1.422,1.122,0.0007724,0.0007724,0.0007724
33,870.124,1.76559,1.27488,1.08669,0.6706,0.23684,0.25641,0.15587,1.75003,1.3424,1.13134,0.0007328,0.0007328,0.0007328
34,898.368,1.74759,1.35797,1.07672,0.65011,0.23684,0.25648,0.16603,1.68573,1.29833,1.10025,0.0006932,0.0006932,0.0006932
35,926.92,1.67439,1.34622,1.04119,0.64586,0.26316,0.25659,0.16587,1.63397,1.29061,1.07085,0.0006536,0.0006536,0.0006536
36,955.376,1.65801,1.33333,1.06326,0.61428,0.26316,0.25586,0.16072,1.61357,1.31389,1.04519,0.000614,0.000614,0.000614
37,983.305,1.78026,1.39141,1.10938,0.61525,0.25289,0.25597,0.15529,1.60957,1.34948,1.04182,0.0005744,0.0005744,0.0005744
38,1011.56,1.68487,1.34816,1.07193,0.61253,0.25004,0.25735,0.15756,1.57846,1.3494,1.02536,0.0005348,0.0005348,0.0005348
39,1039.94,1.64546,1.26518,1.04314,0.60664,0.24383,0.25703,0.16469,1.54244,1.31739,1.01666,0.0004952,0.0004952,0.0004952
40,1068.61,1.56974,1.19239,0.99658,0.65633,0.25174,0.26145,0.16414,1.5089,1.28043,1.01512,0.0004556,0.0004556,0.0004556
41,1096.85,1.50247,1.10423,1.00789,0.77407,0.23684,0.2635,0.1627,1.51623,1.26745,1.01622,0.000416,0.000416,0.000416
42,1125.18,1.50438,1.19124,1.00772,1,0.23592,0.26548,0.1671,1.50423,1.24834,1.01274,0.0003764,0.0003764,0.0003764
43,1153.54,1.46354,1.16157,0.99405,0.98289,0.23684,0.24971,0.16574,1.5023,1.2189,1.01201,0.0003368,0.0003368,0.0003368
44,1182.49,1.46524,1.13458,1.03961,0.98196,0.23684,0.25651,0.16893,1.55691,1.23975,1.02251,0.0002972,0.0002972,0.0002972
45,1210.86,1.50392,1.16839,1.0269,0.98256,0.23684,0.25804,0.17052,1.56426,1.26916,1.02581,0.0002576,0.0002576,0.0002576
46,1239.48,1.42712,1.08435,0.98977,0.98214,0.23684,0.25214,0.17094,1.5366,1.28752,1.02425,0.000218,0.000218,0.000218
