epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3049,4.39476,5.12698,1.90128,0,0,0,0,5.26938,3.78803,3.31857,8e-05,8e-05,8e-05
2,67.0503,4.2898,4.57992,1.6705,0.66629,0.025,0.02729,0.00273,4.72749,3.80609,2.70269,0.000176436,0.000176436,0.000176436
3,95.6935,4.0263,4.33594,1.56037,0.47979,0.05,0.03631,0.00617,4.11303,3.771,2.05298,0.000268912,0.000268912,0.000268912
4,125.016,3.69046,4.01566,1.5139,0.7117,0.075,0.06819,0.02298,3.72822,3.70442,1.74355,0.000357428,0.000357428,0.000357428
5,153.856,3.58246,3.76764,1.39884,0.6791,0.075,0.06796,0.04495,3.46421,3.70008,1.52406,0.000441984,0.000441984,0.000441984
6,181.964,3.34011,3.60738,1.33154,0.65718,0.075,0.06796,0.04205,3.40676,3.71077,1.4908,0.00052258,0.00052258,0.00052258
7,209.991,3.5541,3.6611,1.37394,0.52158,0.075,0.06346,0.03062,3.27993,3.37467,1.43794,0.000599216,0.000599216,0.000599216
8,237.084,3.4373,3.45506,1.37441,0.51261,0.075,0.06346,0.01891,3.51611,3.51234,1.48681,0.000671892,0.000671892,0.000671892
9,264.029,3.58654,3.71681,1.3102,0.22793,0.075,0.03133,0.01154,3.58924,3.36931,1.46001,0.000740608,0.000740608,0.000740608
10,291.008,3.37899,3.45791,1.23864,0.54446,0.075,0.06862,0.01957,3.52801,3.39976,1.40613,0.000805364,0.000805364,0.000805364
11,318.592,3.19634,3.28303,1.25922,0.47642,0.075,0.06971,0.03646,3.1428,3.17054,1.34409,0.00086616,0.00086616,0.00086616
12,346.517,3.37913,3.29904,1.2731,0.67612,0.075,0.07068,0.04359,2.89668,2.96739,1.28547,0.000922996,0.000922996,0.000922996
13,373.506,3.28291,3.4617,1.32047,0.38634,0.1,0.08098,0.03987,2.93003,3.04501,1.28305,0.000975872,0.000975872,0.000975872
14,401.205,3.34096,3.28075,1.26465,0.46353,0.1,0.09409,0.0395,2.90027,3.07347,1.26287,0.00102479,0.00102479,0.00102479
15,428.111,3.44795,3.48942,1.32207,0.51256,0.1,0.08928,0.04269,2.89985,3.06611,1.28447,0.00106974,0.00106974,0.00106974
16,455.234,3.49731,3.49831,1.31395,0.55105,0.1,0.09138,0.04621,2.88522,3,1.27985,0.00111074,0.00111074,0.00111074
17,482.529,3.2221,3.37558,1.29075,0.65371,0.1,0.09845,0.04349,2.75987,2.80401,1.27136,0.00114778,0.00114778,0.00114778
18,509.659,3.3764,3.41673,1.3173,0.82626,0.1,0.09884,0.0404,2.88246,2.95011,1.29027,0.00118085,0.00118085,0.00118085
19,537.739,3.40877,3.30015,1.29067,0.87378,0.1,0.09903,0.0393,2.83477,2.99915,1.27309,0.00120997,0.00120997,0.00120997
20,564.744,3.26541,3.37619,1.31003,0.82428,0.1,0.1022,0.04105,2.86578,2.83292,1.26783,0.00123512,0.00123512,0.00123512
21,591.599,3.20616,3.21369,1.31759,1,0.09955,0.10547,0.04817,2.89185,2.87991,1.25609,0.001208,0.001208,0.001208
