epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5043,3.93314,4.3857,1.59309,0.25977,0.025,0.01367,0.00683,3.94663,3.97467,1.58346,8e-05,8e-05,8e-05
2,55.0431,3.60066,4.01823,1.45632,0.45861,0.025,0.01556,0.00732,3.95228,3.42427,1.61771,0.000176436,0.000176436,0.000176436
3,83.3526,3.67154,3.84429,1.41168,0.0898,0.025,0.02136,0.00912,4.061,3.12014,1.67875,0.000268912,0.000268912,0.000268912
4,109.908,3.40557,3.41997,1.3578,0.86055,0.075,0.07627,0.01312,3.88468,3.0125,1.58477,0.000357428,0.000357428,0.000357428
5,136.246,3.41526,3.33297,1.32883,0.89759,0.075,0.07632,0.02706,3.58694,2.85948,1.44624,0.000441984,0.000441984,0.000441984
6,162.329,3.28214,3.1477,1.32836,0.85094,0.075,0.07647,0.03382,3.37177,2.78652,1.3513,0.00052258,0.00052258,0.00052258
7,188.481,3.26721,3.19654,1.30769,0.75529,0.075,0.07624,0.03424,3.24576,2.7288,1.36447,0.000599216,0.000599216,0.000599216
8,214.386,3.13783,2.92391,1.24656,0.895,0.075,0.07612,0.02694,3.2357,2.73053,1.38007,0.000671892,0.000671892,0.000671892
9,240.257,3.14406,2.94602,1.26664,0.94752,0.075,0.07665,0.01664,3.35259,2.66308,1.47928,0.000740608,0.000740608,0.000740608
10,266.165,3.16093,2.85937,1.22767,0.96684,0.075,0.07693,0.02217,3.35175,2.84212,1.37132,0.000805364,0.000805364,0.000805364
11,292.441,3.22412,2.97642,1.29713,0.9575,0.075,0.07656,0.04164,3.34363,2.82046,1.36723,0.00086616,0.00086616,0.00086616
12,318.088,3.01337,2.88713,1.17662,0.9063,0.075,0.07662,0.04566,3.35772,2.95977,1.32889,0.000922996,0.000922996,0.000922996
13,344.162,3.06231,2.93505,1.24242,0.90733,0.075,0.07674,0.03952,3.34703,2.8818,1.32562,0.000975872,0.000975872,0.000975872
14,371.224,2.97776,2.79342,1.19265,0.64775,0.075,0.06964,0.03395,3.13843,2.69999,1.29312,0.00102479,0.00102479,0.00102479
15,398.554,3.0431,2.79806,1.22167,0.57542,0.075,0.06455,0.03813,3.22071,2.83752,1.3057,0.00106974,0.00106974,0.00106974
