epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.873,3.1797,5.52614,2.83681,0,0,0,0,3.16933,5.00365,3.09549,8e-05,8e-05,8e-05
2,62.4916,2.78866,5.01164,2.55941,0.01818,0.1,0.01007,0.00101,2.40529,4.0754,2.56945,0.000178218,0.000178218,0.000178218
3,92.5951,2.47825,3.24753,2.21104,0.54366,0.36112,0.45704,0.16348,1.6669,2.55485,1.75927,0.000274456,0.000274456,0.000274456
4,118.845,2.06098,2.05562,1.92522,0.87119,0.67864,0.77127,0.422,1.41309,2.55236,1.60383,0.000368714,0.000368714,0.000368714
5,145.573,1.76851,1.82821,1.72576,0.75304,0.9,0.89601,0.55232,1.27356,2.59111,1.52712,0.000460992,0.000460992,0.000460992
6,171.86,1.3927,1.26697,1.43606,0.75985,0.9,0.92306,0.64711,1.10581,1.67644,1.51484,0.00055129,0.00055129,0.00055129
7,197.479,1.38364,1.14002,1.42207,0.7613,0.9,0.8811,0.6942,0.96536,1.02527,1.4245,0.000639608,0.000639608,0.000639608
8,223.246,1.09517,0.95527,1.19575,0.97757,0.9,0.96643,0.81812,0.79335,0.76852,1.31263,0.000725946,0.000725946,0.000725946
9,248.96,1.03232,0.99183,1.19913,0.97988,1,0.995,0.88732,0.58801,0.54898,1.23975,0.000810304,0.000810304,0.000810304
10,274.501,1.00186,0.8011,1.15499,0.97877,1,0.995,0.80812,0.66857,0.52052,1.3026,0.000892682,0.000892682,0.000892682
11,301.355,0.95648,0.81433,1.13941,0.97968,1,0.995,0.7953,0.74064,0.51578,1.35549,0.00097308,0.00097308,0.00097308
12,326.732,0.87367,0.6823,1.11385,0.97649,1,0.995,0.85084,0.66091,0.47323,1.3127,0.0010515,0.0010515,0.0010515
13,353.547,0.81047,0.75591,1.1075,0.97729,1,0.995,0.89383,0.58315,0.43631,1.25761,0.00112794,0.00112794,0.00112794
14,381.581,0.71856,0.62239,1.03551,0.98551,1,0.995,0.83349,0.64748,0.44687,1.28701,0.00120239,0.00120239,0.00120239
15,407.952,0.84611,0.66112,1.14083,0.97382,1,0.995,0.83711,0.57715,0.52915,1.227,0.00127487,0.00127487,0.00127487
16,435.379,0.82861,0.65357,1.08229,0.95072,1,0.995,0.88619,0.536,0.61242,1.17412,0.00134537,0.00134537,0.00134537
17,462.041,0.73168,0.67847,1.02388,0.9657,1,0.995,0.8576,0.55594,0.74721,1.21425,0.00141389,0.00141389,0.00141389
18,488.944,0.81106,0.58835,1.06935,0.97429,1,0.995,0.84626,0.63786,0.59337,1.28181,0.00148043,0.00148043,0.00148043
19,514.367,0.62426,0.6007,0.97275,0.97874,1,0.995,0.88728,0.58841,0.50087,1.24317,0.00154498,0.00154498,0.00154498
20,539.939,0.82902,0.6371,1.12086,0.97667,1,0.995,0.82764,0.6795,0.41695,1.27662,0.00160756,0.00160756,0.00160756
21,565.286,0.67388,0.5161,0.97446,0.97321,1,0.995,0.81267,0.71604,0.47763,1.34225,0.001604,0.001604,0.001604
22,591.129,0.65185,0.54352,0.98085,0.97348,1,0.995,0.81315,0.71834,0.4793,1.3376,0.0015842,0.0015842,0.0015842
23,617.2,0.69851,0.56124,1.08412,0.97065,1,0.995,0.88327,0.53481,0.41694,1.22535,0.0015644,0.0015644,0.0015644
24,642.881,0.70141,0.61144,1.00045,0.97961,1,0.995,0.87575,0.47208,0.39852,1.20168,0.0015446,0.0015446,0.0015446
25,668.337,0.68386,0.76577,1.00118,0.98518,1,0.995,0.88452,0.47497,0.38938,1.21357,0.0015248,0.0015248,0.0015248
26,693.735,0.63266,0.54385,1.0178,0.98528,1,0.995,0.84357,0.60598,0.50759,1.26478,0.001505,0.001505,0.001505
27,719.178,0.66255,0.55621,1.03667,0.98631,1,0.995,0.83394,0.55294,0.50798,1.24473,0.0014852,0.0014852,0.0014852
28,744.918,0.63238,0.55011,0.98364,0.98688,1,0.995,0.88621,0.5131,0.52245,1.23807,0.0014654,0.0014654,0.0014654
29,770.064,0.67501,0.57061,1.05745,0.98859,1,0.995,0.87034,0.5154,0.39391,1.25275,0.0014456,0.0014456,0.0014456
30,795.371,0.57843,0.50671,0.95562,0.99112,1,0.995,0.91905,0.44858,0.34091,1.20766,0.0014258,0.0014258,0.0014258
31,820.614,0.64699,0.62498,1.00431,0.99344,1,0.995,0.92906,0.42298,0.32173,1.17128,0.001406,0.001406,0.001406
32,847.68,0.61883,0.49943,1.00898,0.99451,1,0.995,0.89818,0.46782,0.29573,1.20098,0.0013862,0.0013862,0.0013862
33,875.94,0.56019,0.46007,0.99655,0.99454,1,0.995,0.87742,0.54109,0.31645,1.22007,0.0013664,0.0013664,0.0013664
34,902.8,0.61579,0.53595,1.00247,0.99461,1,0.995,0.89815,0.49412,0.30464,1.18451,0.0013466,0.0013466,0.0013466
35,928.409,0.56436,0.48605,0.99143,0.99488,1,0.995,0.93219,0.44314,0.32819,1.17485,0.0013268,0.0013268,0.0013268
36,953.923,0.60532,0.57088,0.99639,0.99493,1,0.995,0.89442,0.52785,0.3302,1.22621,0.001307,0.001307,0.001307
37,979.196,0.61524,0.58945,1.02766,0.99495,1,0.995,0.89464,0.50029,0.30956,1.20408,0.0012872,0.0012872,0.0012872
38,1004.17,0.60993,0.53621,0.99419,0.99483,1,0.995,0.93331,0.45304,0.29866,1.16251,0.0012674,0.0012674,0.0012674
39,1029.76,0.61037,0.56277,0.98513,0.99459,1,0.995,0.93369,0.38791,0.26038,1.14449,0.0012476,0.0012476,0.0012476
40,1055.33,0.54418,0.4456,0.95309,0.99458,1,0.995,0.87219,0.55742,0.26987,1.22665,0.0012278,0.0012278,0.0012278
41,1081.12,0.51972,0.43522,0.91969,0.99468,1,0.995,0.8901,0.53421,0.26907,1.20767,0.001208,0.001208,0.001208
42,1106.54,0.52719,0.48829,0.98376,0.99463,1,0.995,0.90547,0.45609,0.25741,1.16903,0.0011882,0.0011882,0.0011882
43,1132.21,0.5322,0.49275,0.9711,0.99477,1,0.995,0.93127,0.46207,0.2554,1.17601,0.0011684,0.0011684,0.0011684
44,1157.85,0.52247,0.40478,0.92357,0.99492,1,0.995,0.89561,0.48042,0.26307,1.22154,0.0011486,0.0011486,0.0011486
45,1183.08,0.5559,0.53041,0.98864,0.99481,1,0.995,0.91545,0.42499,0.23714,1.20545,0.0011288,0.0011288,0.0011288
46,1209.09,0.57994,0.43938,1.00889,0.99477,1,0.995,0.94742,0.37265,0.23785,1.17698,0.001109,0.001109,0.001109
47,1234.63,0.56956,0.51185,1.00063,0.99446,1,0.995,0.93321,0.37743,0.25705,1.16471,0.0010892,0.0010892,0.0010892
48,1260.65,0.5436,0.40989,1.03767,0.99382,1,0.995,0.9311,0.38228,0.26468,1.17331,0.0010694,0.0010694,0.0010694
49,1286.37,0.5404,0.43327,0.96924,0.99385,1,0.995,0.9327,0.35009,0.24717,1.16644,0.0010496,0.0010496,0.0010496
50,1312.18,0.4677,0.40742,0.94418,0.99394,1,0.995,0.93279,0.35833,0.2368,1.17167,0.0010298,0.0010298,0.0010298
51,1338.04,0.53982,0.44848,0.95634,0.99402,1,0.995,0.93308,0.36655,0.23503,1.17744,0.00101,0.00101,0.00101
52,1363.6,0.52183,0.46759,0.95487,0.99405,1,0.995,0.91683,0.43202,0.25588,1.20466,0.0009902,0.0009902,0.0009902
53,1389.79,0.51992,0.39548,0.9515,0.99396,1,0.995,0.93181,0.41945,0.25483,1.19152,0.0009704,0.0009704,0.0009704
54,1415.13,0.53246,0.44193,0.99359,0.99368,1,0.995,0.93271,0.38979,0.26214,1.17014,0.0009506,0.0009506,0.0009506
