epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0546,3.79968,4.5591,4.20634,0,0,0,0,3.32299,5.05262,3.03665,0.0001,0.0001,0.0001
2,64.0629,3.46834,4.10239,3.5386,0.01201,0.16,0.00949,0.00204,3.22562,4.37264,2.98508,0.000217822,0.000217822,0.000217822
3,95.1552,3.23259,3.86539,3.1661,0.00954,0.36,0.01596,0.00366,2.92209,3.8685,2.74536,0.000333268,0.000333268,0.000333268
4,125.138,3.04718,3.41184,2.94278,0.02662,0.28,0.02024,0.00523,2.8089,3.67798,2.67029,0.000446338,0.000446338,0.000446338
5,154.322,2.83241,3.41448,2.78953,0.07329,0.24,0.04042,0.00855,2.75799,3.6157,2.54503,0.000557032,0.000557032,0.000557032
6,183.381,2.71196,3.0795,2.5229,0.11746,0.2,0.0378,0.01411,2.76754,3.46953,2.55576,0.00066535,0.00066535,0.00066535
7,213.637,2.74962,2.97461,2.58847,0.26321,0.16,0.07887,0.03027,2.65247,3.23421,2.55951,0.000771292,0.000771292,0.000771292
8,243.435,2.70753,2.89026,2.56184,0.18755,0.12,0.05862,0.021,2.60925,3.19928,2.49432,0.000874858,0.000874858,0.000874858
9,273.115,2.5791,2.75115,2.38447,0.11477,0.08,0.04738,0.01357,2.8873,3.57266,2.58785,0.000976048,0.000976048,0.000976048
10,304.075,2.64381,2.7479,2.56651,0.34774,0.2,0.11956,0.03441,2.63698,3.65201,2.40806,0.00107486,0.00107486,0.00107486
11,333.986,2.60144,2.73322,2.53374,0.11548,0.12,0.05507,0.01389,2.95757,3.65427,2.59292,0.0011713,0.0011713,0.0011713
12,363.251,2.46637,2.69969,2.37797,0.00389,0.56,0.01189,0.00331,3.69309,3.84246,3.27961,0.00126536,0.00126536,0.00126536
13,391.939,2.45172,2.59123,2.30956,0.00309,0.44,0.00988,0.00191,3.56899,3.67776,3.13702,0.00135705,0.00135705,0.00135705
14,420.845,2.5773,2.63346,2.56822,0.06333,0.08,0.02876,0.00818,2.66642,3.56616,2.51949,0.00144636,0.00144636,0.00144636
15,451.045,2.56327,2.65321,2.3506,0.16997,0.08,0.07013,0.02062,2.71471,3.24096,2.54935,0.00153329,0.00153329,0.00153329
16,479.881,2.48572,2.55411,2.24373,0.28211,0.24,0.11707,0.02324,2.90469,2.83614,2.62107,0.00161785,0.00161785,0.00161785
17,508.293,2.43035,2.62233,2.32384,0.19618,0.2,0.07291,0.01381,2.79863,3.015,2.54902,0.0016832,0.0016832,0.0016832
18,536.865,2.37403,2.50694,2.31668,0.01162,0.48,0.01319,0.00245,2.83778,3.88697,2.46384,0.0016634,0.0016634,0.0016634
19,565.745,2.53552,2.56319,2.34721,0.01714,0.68,0.02304,0.00515,2.70288,3.71715,2.422,0.0016436,0.0016436,0.0016436
