epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.238,2.63235,3.57681,2.30506,0.01876,0.86667,0.06272,0.0149,2.89401,3.3951,2.71971,0.00014,0.00014,0.00014
2,91.432,2.26959,2.72884,2.10881,0.20126,0.2,0.15387,0.06879,1.98896,2.58375,2.0769,0.00029406,0.00029406,0.00029406
3,132.971,1.95311,2.29508,1.8946,0.27099,0.33333,0.32548,0.15643,1.75616,2.33702,1.97452,0.000441784,0.000441784,0.000441784
4,175.541,1.76796,2.16091,1.74709,0.45741,0.67471,0.5657,0.18337,1.85386,2.2169,2.08064,0.000583172,0.000583172,0.000583172
5,216.225,1.77063,1.88361,1.70615,0.66334,0.6,0.57585,0.29091,1.68706,1.79827,1.82444,0.000718224,0.000718224,0.000718224
6,260.91,1.71517,1.79372,1.59022,0.53603,0.73333,0.68925,0.35644,1.43933,1.57245,1.63167,0.00084694,0.00084694,0.00084694
7,308.42,1.69223,1.45987,1.48521,0.89022,0.66667,0.86692,0.50855,1.44001,1.16986,1.49566,0.00096932,0.00096932,0.00096932
8,355.549,1.7482,1.52423,1.52564,0.93743,0.99883,0.97875,0.63723,1.39927,0.99505,1.52718,0.00108536,0.00108536,0.00108536
9,402.482,1.66455,1.51308,1.56337,0.78114,0.95251,0.95487,0.6881,1.22487,0.86981,1.35524,0.00119507,0.00119507,0.00119507
10,449.096,1.65376,1.38612,1.49611,0.87023,0.93333,0.96696,0.57828,1.51856,0.94012,1.51177,0.00129844,0.00129844,0.00129844
11,496.347,1.53978,1.31784,1.41872,0.81053,1,0.94976,0.63236,1.25586,0.91491,1.36473,0.00139548,0.00139548,0.00139548
12,543.14,1.49358,1.27602,1.42476,0.82489,1,0.95268,0.60538,1.34925,0.85975,1.37519,0.00148618,0.00148618,0.00148618
13,590.176,1.37132,1.1515,1.36107,0.93314,0.93067,0.97167,0.62253,1.25237,0.79229,1.35637,0.0015248,0.0015248,0.0015248
14,636.451,1.4078,1.11156,1.31414,0.92935,0.93333,0.93805,0.65154,1.17862,0.88762,1.3354,0.0014852,0.0014852,0.0014852
15,684.171,1.42652,1.0905,1.34484,0.86615,0.93333,0.93125,0.56471,1.54671,0.84713,1.56118,0.0014456,0.0014456,0.0014456
16,730.981,1.30768,1.10626,1.29984,0.92281,0.93333,0.9597,0.62089,1.30884,0.78178,1.39656,0.001406,0.001406,0.001406
17,778.019,1.38706,1.10609,1.36964,0.93699,0.99191,0.97,0.58429,1.36729,0.7668,1.43959,0.0013664,0.0013664,0.0013664
18,824.206,1.29962,0.95852,1.27525,0.93743,0.99887,0.96625,0.64099,1.27251,0.71066,1.39939,0.0013268,0.0013268,0.0013268
19,872.788,1.20981,0.92245,1.21613,0.92744,1,0.97875,0.67208,1.13707,0.63987,1.29705,0.0012872,0.0012872,0.0012872
20,923.719,1.24483,0.94704,1.23402,0.9668,1,0.995,0.69795,1.14734,0.66435,1.28235,0.0012476,0.0012476,0.0012476
21,974.848,1.18804,0.91882,1.17567,1,0.97567,0.995,0.67519,1.18314,0.67716,1.30317,0.001208,0.001208,0.001208
22,1028.48,1.22084,0.95254,1.24719,0.98111,1,0.995,0.76141,0.99826,0.61115,1.17417,0.0011684,0.0011684,0.0011684
23,1080.74,1.12321,0.83635,1.14746,0.98894,1,0.995,0.74784,0.96854,0.56552,1.1824,0.0011288,0.0011288,0.0011288
24,1132.31,1.17479,0.84083,1.16869,0.99725,1,0.995,0.76869,0.91919,0.56105,1.16548,0.0010892,0.0010892,0.0010892
25,1184.53,1.1451,0.82056,1.18075,0.98924,0.93333,0.98794,0.71001,1.03222,0.59733,1.24316,0.0010496,0.0010496,0.0010496
26,1236.32,1.24808,0.84943,1.23646,0.86758,1,0.97861,0.71266,0.98856,0.588,1.17648,0.00101,0.00101,0.00101
27,1288.24,1.07813,0.82098,1.17495,0.93709,0.99346,0.98688,0.78954,0.75424,0.55199,1.06427,0.0009704,0.0009704,0.0009704
28,1340.72,1.14302,0.8652,1.18553,0.87269,1,0.97861,0.76749,0.79629,0.56292,1.09402,0.0009308,0.0009308,0.0009308
29,1392.56,1.06092,0.78904,1.15991,0.93748,0.9997,0.99125,0.73328,1.03367,0.56891,1.20001,0.0008912,0.0008912,0.0008912
30,1444.28,1.09644,0.8079,1.18166,0.98082,0.93333,0.99125,0.73618,1.03368,0.55108,1.20136,0.0008516,0.0008516,0.0008516
31,1495.96,1.05689,0.73074,1.11629,0.99934,1,0.995,0.78126,0.85882,0.48255,1.1277,0.000812,0.000812,0.000812
32,1548.82,1.03001,0.74161,1.13275,0.93225,1,0.99125,0.77169,0.83711,0.49351,1.1115,0.0007724,0.0007724,0.0007724
33,1600.7,0.99781,0.74767,1.1115,0.99344,1,0.995,0.80051,0.79804,0.47213,1.08213,0.0007328,0.0007328,0.0007328
34,1652.85,0.9744,0.72356,1.08643,0.92913,1,0.99125,0.79946,0.83832,0.47636,1.09578,0.0006932,0.0006932,0.0006932
35,1704.79,1.04426,0.77431,1.10731,0.93733,0.99727,0.99125,0.78894,0.92284,0.5355,1.16205,0.0006536,0.0006536,0.0006536
36,1757.52,0.97424,0.72407,1.09915,0.92907,1,0.99125,0.76326,0.92988,0.5171,1.18443,0.000614,0.000614,0.000614
37,1809.51,0.91952,0.70588,1.08901,1,0.97571,0.995,0.76831,0.91726,0.50982,1.1867,0.0005744,0.0005744,0.0005744
38,1861.34,0.9522,0.71513,1.08612,0.93142,1,0.99125,0.8086,0.79749,0.48057,1.10901,0.0005348,0.0005348,0.0005348
39,1914.97,0.90275,0.6842,1.05112,0.92993,1,0.99125,0.80897,0.76832,0.46835,1.07173,0.0004952,0.0004952,0.0004952
40,1966.86,0.87165,0.65693,1.02949,0.93292,1,0.99125,0.82599,0.76495,0.48293,1.07002,0.0004556,0.0004556,0.0004556
41,2017.77,0.83814,0.63035,1.11139,0.93385,1,0.99125,0.80397,0.75561,0.48031,1.07429,0.000416,0.000416,0.000416
42,2068.79,0.86436,0.65483,1.14445,0.93462,1,0.99125,0.80476,0.78589,0.51422,1.08287,0.0003764,0.0003764,0.0003764
43,2118.98,0.79507,0.59202,1.09012,1,0.99623,0.995,0.83889,0.7334,0.47987,1.06085,0.0003368,0.0003368,0.0003368
